               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.042676,            0.021993,           0.0051937,             0.61929,             0.56594,             0.58017,             0.28202,            0.042054,            0.015508,           0.0089751,            0.007624,            0.007624,            0.007624
                  74,            0.042479,            0.021276,           0.0050141,             0.61223,             0.57199,             0.58085,              0.2827,            0.042069,            0.015517,           0.0090248,            0.007591,            0.007591,            0.007591
                  75,            0.042662,            0.021527,           0.0050921,             0.60589,             0.57767,             0.58167,             0.28279,            0.042055,            0.015528,           0.0090257,            0.007558,            0.007558,            0.007558
                  76,            0.041986,            0.021232,            0.004879,             0.61256,             0.57175,             0.58144,             0.28322,            0.042071,            0.015543,           0.0090348,            0.007525,            0.007525,            0.007525
                  77,            0.042137,            0.021229,           0.0049363,             0.61265,             0.56928,             0.58087,             0.28283,            0.042064,            0.015554,            0.009046,            0.007492,            0.007492,            0.007492
                  78,            0.041973,            0.021412,           0.0047308,             0.61102,             0.56795,             0.58172,             0.28247,            0.042069,            0.015558,           0.0090695,            0.007459,            0.007459,            0.007459
                  79,             0.04188,            0.021127,           0.0049633,             0.61353,             0.56598,             0.58095,             0.28229,             0.04209,             0.01556,           0.0091064,            0.007426,            0.007426,            0.007426
                  80,            0.041855,            0.020865,            0.004829,             0.61845,             0.56367,             0.58197,               0.283,            0.042103,            0.015565,           0.0091174,            0.007393,            0.007393,            0.007393
                  81,            0.041792,            0.021177,           0.0047363,             0.62267,             0.56061,             0.58156,             0.28304,            0.042098,            0.015574,            0.009131,             0.00736,             0.00736,             0.00736
                  82,            0.041743,            0.021387,           0.0047093,             0.62021,             0.56055,             0.58174,             0.28342,            0.042084,            0.015577,           0.0091367,            0.007327,            0.007327,            0.007327
                  83,            0.041496,            0.020965,           0.0047522,             0.62288,             0.55955,             0.58097,              0.2833,            0.042093,            0.015587,           0.0091432,            0.007294,            0.007294,            0.007294
